Chapter,Policy,Description
"Delivering the Spatial Strategy","Policy SPS5.7: Sherfield Hill Farm","Policy SPS5.7:  Sherfield Hill Farm

The site, as shown on the Policies Map, is allocated for a well designed and sustainable development that will:

Make provision for the delivery of approximately 300 homes including 5% serviced plots for custom and self-build homes;
Be in accordance with the principles of the Concept Plan and the Land to the East of Basingstoke vision;
Provide for permanent Gypsy and Traveller pitches, proportionate to the size of the site when considered in relation to the overall need for pitches as set out in the latest version of the Gypsy and Traveller Accommodation Assessment;
Ensure that the development will not have a severe adverse impact on the local highway network including the A33 and connecting routes, nor have an unacceptable impact on highway safety, with the inclusion of suitable measures to mitigate the impact.
Demonstrate how ways to reduce the need to travel, prioritise and maximise the use of active travel and public transport use have been considered and incorporated, to minimise the transport impacts arising from the development;
Demonstrate that safe, suitable and convenient access to local facilities and services can be achieved via active travel or public transport services;
The siting, density, scale, layout, character and hard and soft landscaping of the development must respond positively to, and take opportunities to enhance: the landscape qualities of the site and wider area; the context of the neighbouring built environment; and the local distinctiveness of the area.  The design and layout of the development on its outward facing edges should enable a suitable transition to the adjacent countryside.
Provide a gap between new housing and the site’s northern boundary in order to maintain the separate identity of Church End and prevent coalescence with Basingstoke. The design and layout of development will include an open and undeveloped green buffer to retain the visual and physical separation of Church End with Basingstoke and minimise the visual impact of development;
Provide a strategic planted buffer along the western boundary of the site to safeguard the landscaped character of this gateway into Basingstoke along the A33 and also maintain buffers along the eastern and southern boundaries of the site to protect and enhance existing tree belts;
Protect and enhance key species and habitats, prevent detrimental impacts and, where unavoidable, mitigate the impact on protected species and habitats, and secure the creation and management of linkages that provide high levels of habitat connectivity within the site and to the wider green infrastructure network.  The development will provide a minimum 10% biodiversity net gain together with a site management plan;
Preserve the significance, of the Grade II listed St Leonard’s Church taking due account of the contribution made by setting. Opportunities will be taken to better reveal the significance, including the setting, of the listed building, taking due account of important vistas and views;
Undertake technical investigation and assessment of all sources of flooding (including surface water and groundwater) to determine flood risk management measures to ensure sustainable development and incorporate the provision of on-site sustainable drainage systems (SuDS);
Ensure that acceptable noise standards can be met within homes and amenity areas through suitable noise mitigation measures in light of the proximity of the site to traffic along the A33;
Ensure acceptable noise and odour standards can be met within homes and amenity areas in light of the nearby incinerator and sewage treatment works;
Infrastructure

Make provision for suitable amounts of open/green space (including allotments), in accordance with the council’s Green Space Standards. This needs to create an effective green infrastructure network (incorporating pedestrian and cycle routes where appropriate) within and through the development (utilising appropriate planting in order to support their biodiversity and landscape function), and which links to the surrounding countryside, habitats and Public Rights of Way. The delivery of green space and play will need to be provided alongside development parcels in order that there are facilities for residents to use by the time that housing is occupied;
Ensure that safe and convenient access will be provided to the highway network from the A33 via the Taylor’s Farm Roundabout, including access to suitable controlled crossing facilities for pedestrians and cyclists. A site wide travel plan will need to be provided to minimise the transport impacts arising from the development and associated measures to deliver sustainable transport objectives will be required; 
Include measures to improve accessibility by active travel and ensure the ability to service the site by public transport;
Make provision on-site for a dedicated network of segregated walking and cycle routes to an adoptable standard that integrate with existing and proposed external routes including through the Redlands site to the south and to the wider Public Rights of Way network. This includes maintaining the alignment of the public footpath which runs east-west through the centre of the site and its landscaped setting, and improving the footpath to the east of the site and associated connections; 
Make provision for an on-site Mobility Hub, which is sensitive to its setting, together with access to future public transport services and active travel  corridors to Basingstoke town centre, including associated boarding and waiting facilities and secure cycle parking;
Provide or contribute towards suitable infrastructure for sewerage (on and off site), foul water and other utilities."
"Delivering the Spatial Strategy","Policy SPS5.8: Land West of Marnel Park","Policy SPS5.8:  Land West of Marnel Park

The site, as shown on the Policies Map, is allocated for a well designed and sustainable development that will:

Make provision for the delivery of approximately 200 homes including 5% serviced plots for custom and self-build homes;
Be in accordance with the principles of the Concept Plan;
Provide for permanent Gypsy and Traveller pitches proportionate to the size of the site when considered in relation to the overall need for pitches as set out in the latest version of the Gypsy and Travellers Accommodation Assessment;
Ensure that the development will not have a severe adverse impact on the local highway network including the A33 corridor and connecting routes, nor have unacceptable impact on highway safety, with the inclusion of suitable measures to mitigate the impact;
Demonstrate how ways to reduce the need to travel, prioritise and maximise the use of active travel and public transport use have been considered and incorporated to minimise the transport impacts arising from the development;
Demonstrate that safe, suitable and convenient access to local facilities and services can be achieved via active travel or public transport services;
The siting, density, scale, layout, character and hard and soft landscaping of the development must respond positively to, and take opportunities to enhance: the landscape qualities of the site and wider area; the context of the neighbouring built environment; and the local distinctiveness of the area.  The design and layout of the development on its outward facing edges will enable a suitable transition to the adjacent countryside.
The character, layout and appearance of the housing will be distinguishable from adjoining development to create a separate identity for this new neighbourhood;
Protect and enhance key species and habitats, prevent detrimental impacts and, where unavoidable, mitigate the impact on protected species and habitats, and secure the creation and management of linkages that provide high levels of habitat connectivity within the site and to the wider green infrastructure network. This includes the protection of great crested newt populations and Spiers Copse Site of Importance for Nature Conservation (SINC). The existing tree belt on the eastern boundary will be retained in full in order to maintain its visual and biodiversity functions and its identified role in local ecological network mapping. Provision will be made for buffers against the surrounding tree and hedge belts and the Spiers Copse and the Kiln Farm Spreads Ancient Woodland SINCs on the north eastern and western boundary of the site.  The development will provide a minimum 10% biodiversity net gain together with a site management plan;
The siting, density, scale, layout, character and hard and soft landscaping of the development, together with the siting of open space and landscape buffers, will mitigate any visual impact of the development on the strategic gap between Basingstoke and Sherborne St John.  This will require the avoidance of built development on the southern part of the site to the south east of Kiln Farm;
Provide a reinforced tree belt to the west and south of the housing parcels to protect views towards the site from the wider countryside and Chineham Lane, and minimise inter-visibility between Basingstoke and Sherborne St John. Green corridors with a minimum width of 20m will be introduced running east to west within the site, linking to the existing green infrastructure network within adjoining development and ensuring maintenance of the existing Public Rights of Way; 
Undertake technical investigation and assessment of all sources of flooding (including surface water and groundwater) to determine flood risk management measures to ensure sustainable development and incorporate  the provision of on-site sustainable drainage systems (SuDS); 
Seek to preserve the significance, of the Kiln Farm historic farmstead, taking due account of the contribution made by the allocation site to setting. Opportunities will be taken to better reveal the significance, including the setting, of heritage assets in the vicinity of the site. Development within the setting of heritage assets will be sensitively located and designed to avoid or minimise adverse impacts; 
Assess the full extent of any archaeological constraints via analysis by specialist consultants, and ensure that the layout responds positively to those constraints, and successfully mitigates any archaeological impacts;
Make appropriate use of mineral resources as established via a Mineral Resource Assessment;
Implement any necessary protection measures following gas monitoring assessment prior to development, due to the presence of former domestic landfill close to the site boundary;
Infrastructure

Make provision for suitable amounts of open/green space (including allotments), in accordance with the council’s Green Space Standards. This will need to be provided in a manner which is well related to the overall layout and character of the development, and how it relates to its surroundings. This provision needs to create an effective green infrastructure network (incorporating pedestrian and cycle routes where appropriate) within and through the development (utilising appropriate planting in order to support their biodiversity and landscape function), and which links to the surrounding countryside, habitats and Public Rights of Way.  The delivery of green space and play will need to be provided alongside development parcels in order that there are facilities for residents to use by the time that housing is occupied;
Provide a primary vehicular access route from the neighbouring development of Spiers Meadow;
Include measures to improve accessibility by active travel and public transport including safe, suitable and convenient access to local facilities and services, the Basingstoke Town Centre (including Basingstoke Railway and Bus Stations), local public transport services, including suitable waiting and boarding facilities and associated connections;
Provide internal adoptable walking and cycle routes which link to existing and proposed external routes including through the Spiers Meadow development to the south and to the Public Right of Way network, including to Sherborne St John.  This includes retaining the alignment of the public footpath which runs east-west through the centre of the site and its landscaped setting;
Provide or contribute towards suitable infrastructure for sewerage (on and off site), foul water and other utilities."
"Delivering the Spatial Strategy","Policy SPS5.9: Weybrook Park Golf Course","Policy SPS5.9:  Weybrook Park Golf Course

The site, as shown on the Policies Map, is allocated for a well designed and sustainable development that will:

Make provision for the delivery of approximately 220 homes including 5% serviced plots for custom and self-build homes;
Be in accordance with the principles of the Concept Plan;
Provide for permanent Gypsy and Traveller pitches, proportionate to the size of the site when considered in relation to the overall need for pitches as set out in the latest version of the Gypsy and Traveller Accommodation Assessment;
Ensure no severe adverse impact on the local highway network including the A340 corridors and connecting routes, nor have an unacceptable impact on highway safety, with the inclusion of suitable measures to mitigate the impact;
Demonstrate how ways to reduce the need to travel, prioritise and maximise the use of active travel and public transport use have been considered to minimise the transport impacts arising from the development;
Demonstrate that safe, suitable and convenient access to local facilities and services can be achieved active travel or public transport services;
The siting, density, scale, layout, character and hard and soft landscaping of the development must respond positively to, and take opportunities to enhance: the landscape qualities of the site and wider area; the context of the neighbouring built environment; and the local distinctiveness of the area.  The design and layout of the development on its outward facing edges will enable a suitable transition to the adjacent countryside;
Protect and enhance key species and habitats, prevent detrimental impacts and, where unavoidable, mitigate the impact on protected species and habitats, and secure the creation and management of linkages that provide high levels of habitat connectivity within the site and to the wider green infrastructure network.  The development will provide a minimum 10% biodiversity net gain together with a site management plan; Retain the northern part of the site as undeveloped green space in order to protect rural views between Basingstoke and Sherborne St John and to prevent the coalescence of these settlements. The design and layout of development will include a strong and defensible green buffer in the northern part of the site to limit the visual impact of development;
Retain and enhance existing tree belts and hedges along all external boundaries to protect the rural setting of the site, with suitable buffers.  Housing will be sited away from the western boundary to protect longer distance views towards the site from the west and the rural setting of the public footpath;
Undertake technical investigation and assessment of all sources of flooding (including surface water and groundwater) to determine flood risk management measures to ensure sustainable development and incorporate  the provision of on-site sustainable drainage systems (SuDS); 
Ensure that acceptable noise standards can be met within homes and amenity areas through suitable mitigation measures in light of the proximity of the site to traffic along the A340.
Infrastructure

Make provision for suitable amounts of open/green space in accordance with the council’s Green Space Standards, including the provision of allotments. This needs to create an effective green infrastructure network (incorporating pedestrian and cycle routes where appropriate) within and through the development (utilising appropriate planting in order to support their biodiversity and landscape function), and which link to the surrounding countryside, to habitats and Public Rights of Way. The delivery of green space and play will need to be provided alongside development parcels in order that there are facilities for residents to use by the time that housing is occupied;
Ensure that a safe, suitable and convenient access is provided from the A340 Aldermaston Road for all users and provide a site wide travel plan to minimise the need to travel (including access to digital services) and associated measures to minimise the transport impacts arising from the development; There must be no vehicular access onto or from Rooksdown Lane apart from emergency access;
Include measures to improve accessibility by active travel modes and ensure safe, suitable and convenient access to local public transport services to/from Basingstoke Town Centre (including Basingstoke Railway and Bus Stations), together with suitable waiting and boarding facilities, and associated connections; 
Make provision on site for a dedicated network of segregated walking and cycle routes to an adoptable standard, that integrate with existing and proposed external routes including to Park Prewett to the south and to the Public Rights of Way network; 
Provide or contribute towards suitable infrastructure for sewerage (on and off site), foul water and other utilities."
"Delivering the Spatial Strategy","Policy SPS5.10: Overton Mill, Overton","Policy SPS5.10:  Overton Mill

The site, as shown on the Policies Map, is allocated for a well-designed and sustainable development that will:

Make provision for the delivery of:
Approximately 340 homes including 5% serviced plots for custom and self-build homes;
Small-scale employment (Classes E(g), B2 and B8) and retail (Class E) uses; and
Parking facilities for the railway station;
Be in accordance with the principles of the Concept Plan;
Provide for permanent Gypsy and Traveller pitches, proportionate to the size of the site when considered in relation to the overall need for pitches as set out in the latest version of the Gypsy and Travellers Accommodation Assessment;
Ensure that the development will not have a severe adverse impact on the local highway network nor have an unacceptable impact on highway safety with the inclusion of suitable measures to mitigate the impact; 
Demonstrate how ways to reduce the need to travel, prioritise and maximise the use of active travel and public transport use have been considered to minimise the transport impacts arising from the development;
Demonstrate that safe, suitable and convenient access to local facilities and services can be achieved by active travel or public transport services;
Ensure the development responds positively to, and takes opportunities to, safeguard and enhance the landscape and scenic beauty of the North Wessex Downs National Landscape, recognising the landscape qualities of the site; the built environment of Quidhampton and Overton; and the local distinctiveness of the area. The design and layout of the development on its outward facing edges will enable a suitable transition to the surrounding National Landscape.
Ensure that consideration is given to the siting, density, massing, scale, layout, hard and soft landscaping and character of the development in relation to its landscape context, which should have regard to the following:
The impact on the National Landscape, with particular regard to the landscape character of the National Landscape and views to, from and within the National Landscape, including from Public Rights of Way and viewpoints in the wider countryside of the North Wessex Downs;
The setting of the adjoining Test Valley Valued Landscape; 
Retain existing trees and take opportunities to enhance the structural landscaping of the site.  Additional planting must be provided to reinforce existing tree belts along the northern and eastern boundaries of the built-up area, and will  be in keeping with the landscape character of the area.  Additional planting will also help to minimise the visual impact of the development on the National Landscape, including on views from publicly accessible countryside to the north, east and west of the site; and to reinforce existing groups of trees adjacent to the boundary in the southern part of the site;
Ensure there is no unjustified adverse impact on the significance of heritage assets, or on the ability to appreciate significance, caused by development within the setting of neighbouring heritage assets including Overton Conservation Area and listed buildings such as Quidhampton Farmhouse; 
Protect and enhance key species and habitats, prevent detrimental impacts and, where unavoidable, mitigate the impact on protected species and habitats, and secure the creation and management of linkages that provide high levels of habitat connectivity within the site and to the wider green infrastructure network.  This will include ensuring that the development does not result in harm to the Site of Special Scientific Interest (The River Test) and the adjoining Site of Importance for Nature Conservation (SINC). The development will provide a minimum 10% biodiversity net gain together with a site management plan;
Undertake technical investigation and assessment of all sources of flooding (including surface water and groundwater) to determine flood risk management measures to ensure sustainable development and incorporate provision of on-site sustainable drainage systems (SuDS);
Demonstrate, via a nutrient neutrality mitigation strategy, that nutrient neutrality can be achieved in perpetuity in order to protect the Solent nature conservation sites.  This should be via on-site mitigation measures unless it can be robustly demonstrated that this is not achievable, in which case off-site mitigation would be required;
Ensure that noise impacts arising from the railway and any employment use on the site are successfully mitigated through suitable measures;
Make appropriate use of mineral resources as established via a Mineral Resource Assessment;
Remediate the land of any contamination and ensure the remediation is complete before any part of the development is occupied;
Infrastructure

Make provision for suitable amounts of open/green space in accordance with the council’s Green Space Standards, including the provision of allotments.  This will need to be provided in a manner which is well related to the overall layout and character of the development and how it relates to its surroundings. This provision needs to incorporate effective green infrastructure links (incorporating pedestrian and cycle routes where appropriate) within and through the development (utilising appropriate planting in order to support their biodiversity and landscape function), and which link to the surrounding countryside, habitats and Public Rights of Way network. The delivery of green space and play will need to be provided alongside development parcels in order that there are facilities for residents to use by the time that housing is occupied;
Ensure that safe and convenient access will be provided to the highway network, via Papermill Lane for the residential uses and Station Hill/Station Approach for the small scale employment and retail uses and parking facilities for the station. Emergency only access should be provided from Kingsclere Road (B3051);
Include measures to improve accessibility by active travel to local facilities and services and ensure the ability to service the site by public transport.  Suitable pedestrian and cycle access routes should be provided between Overton train station (Platforms 1 & 2) and the land to the north and south of the railway line;
Make provision on-site for a dedicated network of segregated walking and cycle routes to an adoptable standard that integrate with existing and proposed external routes and to the wider Public Rights of Way network. This includes maintaining the alignment of the Byway which runs north-south through the eastern part of the northern site; 
Provide or contribute towards suitable infrastructure for wastewater (on and off site), foul water and other utilities."
"Delivering the Spatial Strategy","Policy SPS5.11: Redlands Lodge","Policy SPS5.11:  Redlands Lodge

The site, as shown on the Policies Map, is allocated for a well designed and sustainable development that will:

 Make provision for the delivery of approximately 16 homes;
Be in accordance with the principles of the Concept Plan and the Land to the East of Basingstoke vision;
Ensure that the development is integrated with, and well related to, the neighbouring East of Basingstoke site allocation (Policy SPS5.6) in terms of siting, scale, layout, integration with footpath and cycle routes, and infrastructure provision;
Ensure the provision of safe, suitable and convenient access for all users via the East of Basingstoke allocation site, or from development to the north of the site (on the former allocation site known as Redlands), whilst also accommodating users of the public footpath (Sherfield on Loddon Footpath 4).
Ensure the provision of measures to prevent vehicular access between this site and the A33 via the existing drive and the public footpath (Sherfield on Loddon Footpath 4).
The siting, density, scale, layout, character and hard and soft landscaping of the development must respond positively to, and take opportunities to enhance: the landscape qualities of the site and wider area; the context of the neighbouring built environment; and the local distinctiveness of the area. The design and layout of the development on its outward facing edges should enable a suitable transition to the adjacent countryside. This will require the retention, and enhancement where appropriate, of the tree belts and hedges along the boundaries of the site.
Include measures to avoid and mitigate the impact of development upon key species and habitats and enhance habitat connectivity. The development will provide a minimum 10% biodiversity net gain together with a site management plan;
Undertake technical investigation and assessment of all sources of flooding (including surface water and groundwater) to determine the flood risk management measures which are required to ensure sustainable development and incorporate the provision of on-site sustainable drainage systems (SuDS);
Opportunities will be taken to better reveal the significance, including the setting, of heritage assets in the vicinity of the site, safeguarding important vistas and views;
Ensure that noise impacts arising from the A33 and nearby incinerator, sewage treatment works and industrial uses are successfully mitigated through careful design and layout, and the provision of substantial buffers; and
Given the proximity of the incinerator and sewage treatment works, ensure that acceptable odour and air quality standards can be met within homes and amenity areas."
"Delivering the Spatial Strategy","Policy SPS5.12: Land adjacent to Weybrook Park Golf Course","Policy SPS5.12:  Land adjacent to Weybrook Park Golf Course

The site, as shown on the Policies Map, is allocated for a well designed and sustainable development that will:

 Make provision for approximately 30 homes
Be in accordance with the principles of the Concept Plan;
Ensure that the development is integrated with, and well related to, the neighbouring Weybrook Park Golf Course site allocation (Policy SPS5.9) in terms of issues such as siting, scale, layout, integration with footpath and cycle routes, and infrastructure provision;
The siting, density, scale, layout, character and hard and soft landscaping of the development must respond positively to, and take opportunities to enhance: the landscape qualities of the site and wider area; the context of the neighbouring built environment; and the local distinctiveness of the area. This will require the retention, and enhancement where appropriate, of the trees and hedges along the boundaries of the site.  The design and layout of the development on its outward facing edges will enable a suitable transition to the adjacent countryside;
Protect and enhance key species and habitats, prevent detrimental impacts and, where unavoidable, mitigate the impact on protected species and habitats, and secure the creation and management of linkages that provide high levels of habitat connectivity within the site and to the wider green infrastructure network.  The development will provide a minimum 10% biodiversity net gain together with a site management plan;
Ensure that the layout responds positively to the full extent of the archaeological constraints and successfully mitigates any archaeological impacts.
Infrastructure

Make provision for suitable amounts of open/green space in accordance with the council’s Green Space Standards. This needs to create an effective green infrastructure network (incorporating pedestrian and cycle routes where appropriate) within and through the development (utilising appropriate planting in order to support their biodiversity and landscape function), and which link to the surrounding countryside, to habitats and Public Rights of Way. The delivery of green space will need to be provided alongside development parcels in order that there are facilities for residents to use by the time that housing is occupied;
Ensure that a safe, suitable and convenient access is provided for all users, including to local facilities and services, together with onsite turning and servicing facilities;
Provide or contribute towards suitable infrastructure for sewerage (on and off site), foul water and other utilities.
Incorporate the provision of on-site sustainable drainage systems (SuDS)."
"Delivering the Spatial Strategy","Policy SPS5.13: 16 Southern Road","Policy SPS5.13:  16 Southern Road

The site, as shown on the Policies Map, is allocated for a well designed and sustainable development that will:

Make provision for approximately 9 homes;
Be in accordance with the principles of the Concept Plan;
Ensure a safe, suitable and convenient access is provided for all users, whilst maintaining the safe and unhindered operation of Southern Road and the existing pedestrian crossing/raised table upon the southern frontage of this site;
Respond positively to, and take opportunities to enhance, the characteristics of the site and wider area through the siting, density, scale, layout, character and hard and soft landscaping of the development and have due regard to the amenity of neighbouring properties;
Housing along the Southern Road frontage should be no more than 2-storeys in height;
Include measures to avoid and mitigate the impact of development upon key species and habitats and enhance habitat connectivity. The development will provide a minimum 10% biodiversity net gain together with a site management plan;
Preserve or enhance the significance, setting, character and appearance of the Basingstoke Town Centre and Fairfields Conservation Areas through the protection of views to and from those conservation areas;
Preserve the significance, and setting, of listed buildings, including the Grade II listed All Saints Church through the siting, scale, layout and character of development; .
Opportunities should be taken to better reveal the significance, including the setting, of heritage assets in the vicinity of the site, taking due account of important vistas and views;
Ensure that the development of the site does not prejudice the development of the Local Plan allocation site to the immediate north at 65 New Road; and
Ensure that acceptable noise standards can be met through suitable mitigation measures in light of the proximity of the site to road traffic."
"Delivering the Spatial Strategy","Policy SPS5.14: 65 New Road","Policy SPS5.13:  16 Southern Road

The site, as shown on the Policies Map, is allocated for a well designed and sustainable development that will:

Make provision for approximately 9 homes;
Be in accordance with the principles of the Concept Plan;
Ensure a safe, suitable and convenient access is provided for all users, whilst maintaining the safe and unhindered operation of Southern Road and the existing pedestrian crossing/raised table upon the southern frontage of this site;
Respond positively to, and take opportunities to enhance, the characteristics of the site and wider area through the siting, density, scale, layout, character and hard and soft landscaping of the development and have due regard to the amenity of neighbouring properties;
Housing along the Southern Road frontage should be no more than 2-storeys in height;
Include measures to avoid and mitigate the impact of development upon key species and habitats and enhance habitat connectivity. The development will provide a minimum 10% biodiversity net gain together with a site management plan;
Preserve or enhance the significance, setting, character and appearance of the Basingstoke Town Centre and Fairfields Conservation Areas through the protection of views to and from those conservation areas;
Preserve the significance, and setting, of listed buildings, including the Grade II listed All Saints Church through the siting, scale, layout and character of development; .
Opportunities should be taken to better reveal the significance, including the setting, of heritage assets in the vicinity of the site, taking due account of important vistas and views;
Ensure that the development of the site does not prejudice the development of the Local Plan allocation site to the immediate north at 65 New Road; and
Ensure that acceptable noise standards can be met through suitable mitigation measures in light of the proximity of the site to road traffic."
"Delivering the Spatial Strategy","Policy SPS5.15: Land off Ashwood Way","Policy SPS5.15:  Land off Ashwood Way

The site, as shown on the Policies Map, is allocated for a well designed and sustainable development that will:

Make provision for approximately 18 homes;
Be in accordance with the principles of the Concept Plan;
Ensure a safe, suitable and convenient access is provided for all users, whilst maintaining the safe and unhindered operation of the Ashwood Way (including the existing roundabout);
Respond positively to, and take opportunities to enhance, the characteristics of the site and wider area through the siting, density, scale, layout, character and hard and soft landscaping of the development.
Include measures to avoid and mitigate the impact of development upon key species and habitats and enhance habitat connectivity. The development will provide a minimum 10% biodiversity net gain together with a site management plan;
Ensure that the existing trees on site are retained where possible and opportunities are taken to provide additional planting to enhance the landscape structure of the site and the outlook of the residents. Replacement planting will be needed in relation to any trees which are removed (utilising appropriate native species);
Make provision for suitable amounts of open/green space in accordance with the council’s Green Space Standards; and
Ensure that acceptable noise standards can be met through suitable mitigation measures in light of the proximity of the site to road traffic."
"Delivering the Spatial Strategy","Policy SPS6: Neighbourhood Planning","Policy SPS6:  Neighbourhood Planning

The council will support parish/town councils and other representatives from local communities in non-parished areas in meeting needs through the Neighbourhood Planning process.

In the settlements listed below, it will be necessary to identify sites/opportunities to meet the following levels of development, within and/or adjacent to the settlements’ defined Settlement Policy Boundaries:

 
Policy requirement at 2021 baseline
Update since 2021
Outstanding requirement at April 2023
Rural Towns and Large Villages
Whitchurch
220
 
220
Medium villages
Bramley
55
Permission for 140 homes at Stocks Farm
0
Kingsclere
175
 
175
Small villages
Bishops Green
15
Permission for 42 homes at Land West of Ecchinswell Road
0
Burghclere
15
Adopted Neighbourhood Plan with housing allocation to meet requirement
0
Cliddesden
20
 
20
Dummer
10
 
10
Headley
10
 
10
Highclere
10
 
10
North Waltham
10
 
10
Preston Candover
10
 
10
Silchester
15
 
15
St Mary Bourne
15
 
15
At the time of the Local Plan’s five year review, if a neighbourhood plan or neighbourhood development order that would meet the requirements of this policy has not been submitted to the Council, or at least 50% of a settlement’s identified requirement has not been given planning permission, the council will allocate sites to meet this need through a Development Plan Document."
"Delivering the Spatial Strategy","Policy SPS7: Ensuring a supply of deliverable sites","Policy SPS7:  Ensuring a Supply of Deliverable Sites

The delivery of residential development will be managed to ensure a five year supply of sites can be maintained over the plan period. A review of the Local Plan will be triggered if a future supply cannot be demonstrated.

To take account of water quality matters in line with Policy ENV9 and where monitoring indicates a likely deterioration in individual elements band status of the borough’s water bodies, development proposals in affected areas will have to demonstrate that they would not exacerbate such deterioration in the relevant catchment. Intervention mechanisms will be required to improve the quality of the relevant catchment prior to the release of any further allocated sites or granting of planning permissions."
"Delivering the Spatial Strategy","Policy SPS8 - Nuclear Installations – Aldermaston and Burghfield","Policy SPS8:  Nuclear Installations – Aldermaston and Burghfield

The council requires development in the land use planning consultation zones surrounding (1) AWE Aldermaston and (2) AWE Burghfield to be managed in the interests of public safety.

Development will only be permitted where the Off Site Nuclear Emergency Plan can accommodate the needs of the population in the event of an emergency. All development proposals within all consultation zones that trigger consultation with the Office for Nuclear Regulation’s (ONR) Directorate will be considered in conjunction with the ONR, who will have regard to:

The proposed use;
The scale of development proposed;
The location of the development; and
The impact of the development on the functioning of the emergency plan through appropriate consultation with the multi agencies who have duties under The Radiation Emergency Preparedness and Public Information Regulations (REPPIR)."
"Delivering the Spatial Strategy","Policy SPS9: Basing View","Policy SPS9:  Basing View

Basing View will continue to be regenerated as a 21st century business location and will be protected as a high-quality strategic employment site  (E (g) (i) (ii) use. It will support the role of Basingstoke town as a driver of economic growth by further encouraging economic prosperity and inward investment.

Development proposals will be permitted which:

Help enhance Basing View’s role as one of the borough’s primary focuses for employment through the provision of high quality office floorspace, which should be Grade A standard (or in the case of refurbished floorspace, the highest standard which is practical and viable);
Support regeneration through the provision of complementary uses (including mixed-use proposals) such as retail, hotel accommodation, medical facilities, leisure uses and restaurants;
Deliver higher education uses, including supporting student residential accommodation;
Make efficient and effective use of under-used/vacant land;
Utilise sustainable design and construction methods and provide on-site low carbon energy generation;
Deliver a total of approximately 300 homes, in addition to student accommodation;
Secure the provision of facilities for cyclists, pedestrians and public transport to access Basing View in a safe and convenient manner, including integration with the town centre and railway station and the necessary mitigation works for the wider highway network;
Achieve a high standard of design which contributes towards the delivery of a high-quality public realm and meets the plan’s climate change policies to support the council’s climate emergency and ecological emergency declarations."
"Delivering the Spatial Strategy","Policy SPS10: Oakdown Farm","Policy SPS10:  Oakdown Farm

The site is allocated for an exemplar, well-designed and highly sustainable development that supports the council’s climate emergency declaration by meeting or exceeding the plan’s climate change policies and achieving clean growth. It will:

Make provision for the delivery of warehousing and/or industrial floorspace (use classes B2 or B8);
Be in accordance with the principles of the Concept Plan;
Ensure there are no unacceptable detrimental impacts on existing properties near the site, including from noise and external lighting;
Ensure safe, suitable and convenient access for all users, whilst maintaining the safe and unhindered operation of the surrounding highway network (A30, etc.), together with prioritising active travel (walking and cycling), and access to high quality public transport services that offer a genuine choice of transport modes;
Be subject to the submission of a comprehensive and robust Transport Assessment and a supporting site wide Travel Plan, which demonstrates how measures to prioritise and maximise movement by active travel  and public transport use have been incorporated into the development, to minimise the transport impacts arising from the development;
Recognise the site’s key position in the approach to, and as a ‘gateway’ to, Basingstoke along the two major road routes of the M3 and the A30, and adjacent to Junction 7 of the M3. Development will respond positively to the site’s varying visibility to the wider landscape and local Public Rights of Way network, and to changes in levels across the site. This ‘gateway’ status and response to its landscape context will be achieved through a design and landscape-led approach to the development of the site. Development will enhance the landscape qualities of the site and the wider area through appropriate siting, scale, massing, layout, appearance and hard and soft landscaping. Gaps between the buildings should be included to ensure visual separation is achieved;
Retain and enhance existing tree belts and hedges along all external boundaries, minimising any impact associated with access provision, and retain and respond positively to protected trees within the site;
Ensure that the layout and scale of built form responds positively to the Dummer Conservation Area and other heritage assets in the vicinity of the site;
Protect and enhance key species and habitats, prevent detrimental impacts and, where unavoidable, mitigate the impact on protected species and habitats, and secure the creation and management of linkages that provide existing or improved levels of habitat connectivity within the site and to the wider green infrastructure network. The development will provide a minimum 10% biodiversity net gain together with a site management plan;
Undertake technical investigation and assessment of all sources of flooding (including surface water and groundwater) to determine flood risk management measures to ensure sustainable development and incorporate provision of on-site sustainable drainage systems (SuDS);
Ensure that the layout responds positively to archaeological assets and successfully mitigates any impacts.
Infrastructure

Demonstrate that the design of the means of access for all users and the associated highway improvements take into account and do not prejudice the provision of safe, suitable and convenient access to serve the Southern Manydown site allocation (Policy SPS5.4), including the provision of suitable pedestrian and cycle connections between both sites and other nearby residential developments;
Demonstrate the provision of sufficient onsite access, parking, loading/unloading, servicing and turning facilities (including for HGVs and other vehicles likely to access this site) to accommodate the peak parking, servicing and operational requirements of the development, whilst maintaining the safe and unhindered operation of the surrounding highway network (A30, etc.); and
Provide or contribute towards suitable infrastructure for wastewater (on and off site), foul water and other utilities."
